papel,cotacao,pl,pvp,psr,dy,pa,pcg,pebit,pacl,evebit,evebitda,mrgebit,mrgliq,roic,roe,liqc,liq2m,patrliq,divbpatr,c5y
AALR3,21.31,-18.61,2.35,2.308,0.0,0.958,-30.73,83.88,-2.47,105.92,21.75,0.0275,-0.11800000000000001,0.0132,-0.1263,0.86,9225780.0,1072550000.0,0.85,0.0116
ABCB3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1505,0.0,0.0,5070730000.0,0.0,0.30469999999999997
ABCB4,19.72,5.84,0.88,0.0,0.0649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1505,0.0,16617300.0,5070730000.0,0.0,0.30469999999999997
ABEV3,14.62,17.58,2.55,2.914,0.0521,1.621,35.01,14.97,-25.71,13.92,10.33,0.19469999999999998,0.17149999999999999,0.14980000000000002,0.1452,1.19,498760000.0,90178000000.0,0.03,0.1298
ABYA3,4.91,-214.8,1.76,2.055,0.0,0.527,1.98,19.96,-2.75,33.67,33.67,0.10289999999999999,-0.0096,0.0278,-0.008199999999999999,2.09,0.0,292060000.0,1.31,0.1641
ACES3,95.27,8.79,2.28,1.693,0.0,1.438,6.4,7.2,20.77,6.54,6.54,0.2352,0.19269999999999998,0.26899999999999996,0.2595,2.05,0.0,3105800000.0,0.09,0.1334
ACES4,94.73,8.74,2.27,1.683,0.0,1.43,6.37,7.16,20.65,6.5,6.5,0.2352,0.19269999999999998,0.26899999999999996,0.2595,2.05,0.0,3105800000.0,0.09,0.1334
ADHM3,1.56,-4.09,-1.29,770.924,0.0,105.126,-1.43,-5.69,-1.27,-5.69,-5.81,-135.485,-188.606,5.2170000000000005,0.3147,0.0,2064.0,-19776000.0,0.0,0.43479999999999996
AEDU11,37.35,20.13,1.13,1.405,0.0,0.732,5.77,13.93,-7.31,16.14,10.82,0.1008,0.0698,0.057699999999999994,0.055999999999999994,2.04,0.0,2415400000.0,0.3,0.209
AEDU3,18.35,59.34,3.32,4.141,0.0,2.159,17.0,41.06,-21.55,43.27,29.01,0.1008,0.0698,0.057699999999999994,0.055999999999999994,2.04,0.0,2415400000.0,0.3,0.209
AELP3,1.93,8.49,-200.57,-0.062,0.0,5.216,0.0,-12.58,0.0,-11.94,-11.98,0.0049,-0.0073,0.0,-23.6383,0.0,0.0,-904000.0,0.0,0.0118
AERI3,1.04,-22.66,0.85,0.332,0.0199,0.23,0.64,4.51,-3.44,8.58,6.56,0.0735,-0.0146,0.0855,-0.0373,2.19,10447100.0,942087000.0,1.67,-0.09210000000000002
AESB3,9.96,-1473.02,1.44,2.129,0.0088,0.397,2.02,11.76,-1.07,20.47,10.37,0.18100000000000002,0.0537,0.044800000000000006,-0.001,3.63,22086900.0,4175170000.0,1.89,1.3024
AESL3,10081.9,10.9,2.94,1.084,0.0,0.726,734.54,5.03,-1.28,7.68,7.68,0.2155,0.09949999999999999,0.15839999999999999,0.26940000000000003,1.01,0.0,3864440000.0,1.7,0.2822
AFLT3,9.01,4.75,2.09,3.691,0.0262,1.806,10.14,4.61,15.68,4.36,4.35,0.8012999999999999,0.7775,0.4412,0.441,3.4,4905.42,271493000.0,0.0,0.41350000000000003
AFLU3,5.15,9.15,2.19,2.981,0.0,1.919,9.86,8.52,12.21,7.57,7.24,0.34979999999999994,0.3259,0.3118,0.23929999999999998,3.27,0.0,44270000.0,0.0,0.0861
AFLU5,5.03,8.93,2.14,2.911,0.0,1.875,9.63,8.32,11.92,7.38,7.05,0.34979999999999994,0.3259,0.3118,0.23929999999999998,3.27,0.0,44270000.0,0.0,0.0861
AGEI3,7.8,0.0,1.25,0.0,0.0,0.47,1.39,0.0,-12.59,0.0,0.0,0.0,0.0,0.0,0.0,2.45,0.0,1878210000.0,1.01,0.0
AGEN33,0.16,0.39,-0.03,0.0,0.0,0.066,-0.17,0.11,-0.02,3.73,3.61,0.0,0.0,0.8767,-0.0885,0.09,0.0,-1112630000.0,-1.11,-0.8703
